"GEOID10","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
"53033032702",8,0.0750090173944105,422637052.228462,8906164342.71569,8910859627.76047,"East Highlands, Hobart, and Greater Maple Valley","53033032702",8,"geographic overlap",2023-03-13
"53033029203",9,0.0357405860585398,773344.668323664,209714622.971716,209714622.971732,"Kent - South","53033029203",9,"geographic overlap",2023-03-13
"53033029502",9,0.62697616209845,29332921.6065636,209714622.971716,209714622.971732,"Kent - South","53033029502",9,"geographic overlap",2023-03-13
"53033029503",9,0.125696676917156,3196908.22849118,209714622.971716,209714622.971732,"Kent - South","53033029503",9,"geographic overlap",2023-03-13
"53033029504",9,0.0162185969421939,328810.523662567,209714622.971716,209714622.971732,"Kent - South","53033029504",9,"geographic overlap",2023-03-13
"53033029601",9,0.765666688463212,33142733.7899893,209714622.971716,209714622.971732,"Kent - South","53033029601",9,"geographic overlap",2023-03-13
"53033029602",9,0.0574608043675165,4150072.5557289,209714622.971716,209714622.971732,"Kent - South","53033029602",9,"geographic overlap",2023-03-13
"53033029700",9,0.7123509336538,86419148.1444782,209714622.971716,209714622.971732,"Kent - South","53033029700",9,"geographic overlap",2023-03-13
"53033030501",9,2.40198724191674e-08,2.94532176577659,209714622.971716,209714622.971732,"Kent - South","53033030501",9,"geographic overlap",2023-03-13
"53033030503",9,0.0411985497012851,1474927.6123227,209714622.971716,209714622.971732,"Kent - South","53033030503",9,"geographic overlap",2023-03-13
"53033031205",9,1.01105740787028e-05,641.555545862298,209714622.971716,209714622.971732,"Kent - South","53033031205",9,"geographic overlap",2023-03-13
"53033031703",9,0.144289085748769,12088584.9402463,209714622.971716,209714622.971732,"Kent - South","53033031703",9,"geographic overlap",2023-03-13
"53033031704",9,0.626171760004188,38806526.4010423,209714622.971716,209714622.971732,"Kent - South","53033031704",9,"geographic overlap",2023-03-13
"53033031603",10,0.0189208475641251,11717380.833448,172432092.597146,172432092.597151,"Maple Valley","53033031603",10,"geographic overlap",2023-03-13
"53033031604",10,0.913197103480143,40873998.3526788,172432092.597146,172432092.597151,"Maple Valley","53033031604",10,"geographic overlap",2023-03-13
"53033031605",10,0.00345304357259137,630240.417700734,172432092.597146,172432092.597151,"Maple Valley","53033031605",10,"geographic overlap",2023-03-13
"53033032003",10,0.00338376020425906,4460728.80647049,172432092.597146,172432092.597151,"Maple Valley","53033032003",10,"geographic overlap",2023-03-13
"53033032006",10,0.121075005989461,10084399.5503449,172432092.597146,172432092.597151,"Maple Valley","53033032006",10,"geographic overlap",2023-03-13
"53033032007",10,0.0472099357614919,5913838.24192759,172432092.597146,172432092.597151,"Maple Valley","53033032007",10,"geographic overlap",2023-03-13
"53033032008",10,0.95282159003087,25145377.67184,172432092.597146,172432092.597151,"Maple Valley","53033032008",10,"geographic overlap",2023-03-13
"53033032010",10,0.661949772273307,34351009.4958503,172432092.597146,172432092.597151,"Maple Valley","53033032010",10,"geographic overlap",2023-03-13
"53033032011",10,0.999999570792027,39255119.2268853,172432092.597146,172432092.597151,"Maple Valley","53033032011",10,"geographic overlap",2023-03-13
"53033031703",11,0.18614576661477,15595350.8147384,170503535.057949,170503535.057947,"Covington","53033031703",11,"geographic overlap",2023-03-13
"53033031704",11,0.18319136333579,11353147.7013363,170503535.057949,170503535.057947,"Covington","53033031704",11,"geographic overlap",2023-03-13
"53033031705",11,0.543187711585316,29552081.6727777,170503535.057949,170503535.057947,"Covington","53033031705",11,"geographic overlap",2023-03-13
"53033031706",11,0.999999999999955,44970594.7636593,170503535.057949,170503535.057947,"Covington","53033031706",11,"geographic overlap",2023-03-13
"53033031800",11,0.000260432372055625,78981.7063111187,170503535.057949,170503535.057947,"Covington","53033031800",11,"geographic overlap",2023-03-13
"53033032005",11,0.623219504544069,43078681.5384179,170503535.057949,170503535.057947,"Covington","53033032005",11,"geographic overlap",2023-03-13
"53033032006",11,0.114688892265255,9552496.85215762,170503535.057949,170503535.057947,"Covington","53033032006",11,"geographic overlap",2023-03-13
"53033032007",11,0.130159000979424,16304603.3659522,170503535.057949,170503535.057947,"Covington","53033032007",11,"geographic overlap",2023-03-13
"53033032008",11,0.000666781036194869,17596.6425981149,170503535.057949,170503535.057947,"Covington","53033032008",11,"geographic overlap",2023-03-13
"53033029203",12,0.847859932430776,18345752.8412278,106777102.461427,106777102.461416,"Kent - Central","53033029203",12,"geographic overlap",2023-03-13
"53033029204",12,0.155787084962876,7103432.84106838,106777102.461427,106777102.461416,"Kent - Central","53033029204",12,"geographic overlap",2023-03-13
"53033029206",12,1.30862128783449e-14,2.45482354241985e-06,106777102.461427,106777102.461416,"Kent - Central","53033029206",12,"geographic overlap",2023-03-13
"53033029406",12,0.13465481342965,3927713.96211992,106777102.461427,106777102.461416,"Kent - Central","53033029406",12,"geographic overlap",2023-03-13
"53033029407",12,0.496146966629128,7266076.52724371,106777102.461427,106777102.461416,"Kent - Central","53033029407",12,"geographic overlap",2023-03-13
"53033029408",12,0.470701672805287,6273654.55435769,106777102.461427,106777102.461416,"Kent - Central","53033029408",12,"geographic overlap",2023-03-13
"53033029502",12,0.298411982197718,13961129.3210386,106777102.461427,106777102.461416,"Kent - Central","53033029502",12,"geographic overlap",2023-03-13
"53033029503",12,0.865995921500291,22025319.6439611,106777102.461427,106777102.461416,"Kent - Central","53033029503",12,"geographic overlap",2023-03-13
"53033029504",12,0.983781403057785,19944862.0285627,106777102.461427,106777102.461416,"Kent - Central","53033029504",12,"geographic overlap",2023-03-13
"53033029601",12,0.12174793457375,5269994.69332758,106777102.461427,106777102.461416,"Kent - Central","53033029601",12,"geographic overlap",2023-03-13
"53033029700",12,0.0219194409812355,2659166.04851695,106777102.461427,106777102.461416,"Kent - Central","53033029700",12,"geographic overlap",2023-03-13
"53033025806",13,4.09350563801184e-14,1.35926529765129e-06,390995525.632641,390995525.632588,"Kent - West","53033025806",13,"geographic overlap",2023-03-13
"53033026200",13,1.99664482300264e-14,3.38885001838207e-06,390995525.632641,390995525.632588,"Kent - West","53033026200",13,"geographic overlap",2023-03-13
"53033028300",13,0.262601161095746,23630590.8037639,390995525.632641,390995525.632588,"Kent - West","53033028300",13,"geographic overlap",2023-03-13
"53033028902",13,0.0120514332797319,267516.723266875,390995525.632641,390995525.632588,"Kent - West","53033028902",13,"geographic overlap",2023-03-13
"53033029003",13,0.00410229965807927,113698.56712978,390995525.632641,390995525.632588,"Kent - West","53033029003",13,"geographic overlap",2023-03-13
"53033029004",13,0.997107589120212,19592164.1980251,390995525.632641,390995525.632588,"Kent - West","53033029004",13,"geographic overlap",2023-03-13
"53033029101",13,0.797887454753423,30231500.0138176,390995525.632641,390995525.632588,"Kent - West","53033029101",13,"geographic overlap",2023-03-13
"53033029102",13,1.00000000000002,27802413.2789351,390995525.632641,390995525.632588,"Kent - West","53033029102",13,"geographic overlap",2023-03-13
"53033029203",13,0.0840326449620497,1818274.54759961,390995525.632641,390995525.632588,"Kent - West","53033029203",13,"geographic overlap",2023-03-13
"53033029204",13,0.0042766333004362,195001.89918031,390995525.632641,390995525.632588,"Kent - West","53033029204",13,"geographic overlap",2023-03-13
"53033029205",13,0.99999999999997,20550595.6880261,390995525.632641,390995525.632588,"Kent - West","53033029205",13,"geographic overlap",2023-03-13
"53033029206",13,0.99999999959296,187588537.970591,390995525.632641,390995525.632588,"Kent - West","53033029206",13,"geographic overlap",2023-03-13
"53033029303",13,0.0111518293944659,433285.322191533,390995525.632641,390995525.632588,"Kent - West","53033029303",13,"geographic overlap",2023-03-13
"53033029305",13,4.29694782220622e-14,1.34110450744629e-06,390995525.632641,390995525.632588,"Kent - West","53033029305",13,"geographic overlap",2023-03-13
"53033029700",13,0.182076147942688,22088643.1943418,390995525.632641,390995525.632588,"Kent - West","53033029700",13,"geographic overlap",2023-03-13
"53033029801",13,0.522428445991684,45358310.6642179,390995525.632641,390995525.632588,"Kent - West","53033029801",13,"geographic overlap",2023-03-13
"53033029802",13,9.32465564200549e-08,7.05738227488473,390995525.632641,390995525.632588,"Kent - West","53033029802",13,"geographic overlap",2023-03-13
