"GEOID20","hra20_id","hra20_name","region_id","region_name","creation_date"
"530330314001020",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315022013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316031040",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025021",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012078",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033019",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024006",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025028",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024010",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021010",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022000",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022002",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022003",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024020",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022006",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001045",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013038",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012057",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001047",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011041",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001051",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
