"GEOID10","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
"53033029700",9,0.940069773685924,7919.70988050476,30871.5885884052,30871.5885884052,"Kent - South","53033029700",9,"point population",2023-03-15
"53033031703",9,0.323872997315356,2536.48672175674,30871.5885884052,30871.5885884052,"Kent - South","53033031703",9,"point population",2023-03-15
"53033031704",9,0.965680245226125,6028.13743853329,30871.5885884052,30871.5885884052,"Kent - South","53033031704",9,"point population",2023-03-15
"53033031603",10,0.291159668833232,2363.93647927875,28578.7286773645,28578.7286773645,"Maple Valley","53033031603",10,"point population",2023-03-15
"53033031604",10,1,6474.55740511083,28578.7286773645,28578.7286773645,"Maple Valley","53033031604",10,"point population",2023-03-15
"53033031605",10,0.069317929349035,251.976271798823,28578.7286773645,28578.7286773645,"Maple Valley","53033031605",10,"point population",2023-03-15
"53033032003",10,0.00136077108749375,6.97771003591737,28578.7286773645,28578.7286773645,"Maple Valley","53033032003",10,"point population",2023-03-15
"53033032006",10,0.312375253984499,1669.33855816879,28578.7286773645,28578.7286773645,"Maple Valley","53033032006",10,"point population",2023-03-15
"53033032007",10,0.259813065746324,1136.79745997212,28578.7286773645,28578.7286773645,"Maple Valley","53033032007",10,"point population",2023-03-15
"53033032008",10,0.986486486486487,4399.73175789385,28578.7286773645,28578.7286773645,"Maple Valley","53033032008",10,"point population",2023-03-15
"53033032010",10,0.989704384742096,7042.9629966399,28578.7286773645,28578.7286773645,"Maple Valley","53033032010",10,"point population",2023-03-15
"53033032011",10,1,5232.450038463,28578.7286773645,28578.7286773645,"Maple Valley","53033032011",10,"point population",2023-03-15
"53033031703",11,0.0666089891154201,521.663793651784,21540.4177659293,21540.4177659293,"Covington","53033031703",11,"point population",2023-03-15
"53033031704",11,0.00173971107148698,10.859927490601,21540.4177659293,21540.4177659293,"Covington","53033031704",11,"point population",2023-03-15
"53033031705",11,0.933013685008934,4032.82951627952,21540.4177659293,21540.4177659293,"Covington","53033031705",11,"point population",2023-03-15
"53033031706",11,1,7688.85699163142,21540.4177659293,21540.4177659293,"Covington","53033031706",11,"point population",2023-03-15
"53033032005",11,0.921287058092996,6503.1766567638,21540.4177659293,21540.4177659293,"Covington","53033032005",11,"point population",2023-03-15
"53033032006",11,0.152502288686834,814.974769821404,21540.4177659293,21540.4177659293,"Covington","53033032006",11,"point population",2023-03-15
"53033032007",11,0.449795772404344,1968.05611029086,21540.4177659293,21540.4177659293,"Covington","53033032007",11,"point population",2023-03-15
