"ZIP","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
98103,58,0.130573683521664,7120.54873040097,37251.6304448911,37251.6304448911,"Seattle - Broadview, Haller Lake, and Licton Springs",98103,58,"point population",2023-03-13
98125,58,0.0953791031205138,4137.95172184441,37251.6304448911,37251.6304448911,"Seattle - Broadview, Haller Lake, and Licton Springs",98125,58,"point population",2023-03-13
98133,58,0.417146923762959,21176.3780391451,37251.6304448911,37251.6304448911,"Seattle - Broadview, Haller Lake, and Licton Springs",98133,58,"point population",2023-03-13
98177,58,0.223880188505842,4816.75195350009,37251.6304448911,37251.6304448911,"Seattle - Broadview, Haller Lake, and Licton Springs",98177,58,"point population",2023-03-13
98011,59,0.000175468356836586,4.81039510747785,37674.6953922398,37674.6953922398,"Kenmore and Lake Forest Park",98011,59,"point population",2023-03-13
98028,59,0.998126465024124,23841.0221804446,37674.6953922398,37674.6953922398,"Kenmore and Lake Forest Park",98028,59,"point population",2023-03-13
98155,59,0.375580536641712,13828.8628166889,37674.6953922398,37674.6953922398,"Kenmore and Lake Forest Park",98155,59,"point population",2023-03-13
98011,60,0.999824531643163,27409.7912698398,42721.6052986237,42721.6052986237,"Bothell and Woodinville",98011,60,"point population",2023-03-13
98028,60,0.00187353497587648,44.7508311630934,42721.6052986237,42721.6052986237,"Bothell and Woodinville",98028,60,"point population",2023-03-13
98034,60,0.00757358151483975,394.314065612639,42721.6052986237,42721.6052986237,"Bothell and Woodinville",98034,60,"point population",2023-03-13
98072,60,0.642163010285794,14872.7491320092,42721.6052986237,42721.6052986237,"Bothell and Woodinville",98072,60,"point population",2023-03-13
98133,61,0.481630278888113,24449.8623382614,60118.4570381165,60118.4570381165,"Shoreline",98133,61,"point population",2023-03-13
98155,61,0.621621622249712,22888.0873722682,60118.4570381165,60118.4570381165,"Shoreline",98155,61,"point population",2023-03-13
98177,61,0.594031500339516,12780.5073275891,60118.4570381165,60118.4570381165,"Shoreline",98177,61,"point population",2023-03-13
