"hra20_id","hra20_name","place20","tract20","bg20","creation_date"
27,"Seattle - Delridge",NA,"53033010701",NA,2023-03-15
27,"Seattle - Delridge",NA,"53033010702",NA,2023-03-15
27,"Seattle - Delridge",NA,"53033010800",NA,2023-03-15
27,"Seattle - Delridge",NA,"53033011300",NA,2023-03-15
27,"Seattle - Delridge",NA,"53033011401",NA,2023-03-15
27,"Seattle - Delridge",NA,"53033011402",NA,2023-03-15
27,"Seattle - Delridge",NA,"53033011500",NA,2023-03-15
28,"Issaquah","5333805",NA,NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033009500",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033010101",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033010102",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033010200",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033010301",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033010302",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033011101",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033011102",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033011801",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033011802",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033011901",NA,2023-03-15
29,"Seattle - Rainier Valley and Rainier Beach",NA,"53033011902",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033009300",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033010401",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033010402",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033010900",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033011001",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033011002",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033011200",NA,2023-03-15
30,"Seattle - South Beacon Hill, Georgetown, and South Park",NA,"53033011700",NA,2023-03-15
31,"Bellevue - South",NA,"53033024701",NA,2023-03-15
31,"Bellevue - South",NA,"53033024901",NA,2023-03-15
31,"Bellevue - South",NA,"53033024902",NA,2023-03-15
31,"Bellevue - South",NA,"53033024904",NA,2023-03-15
31,"Bellevue - South",NA,"53033024905",NA,2023-03-15
31,"Bellevue - South",NA,"53033025008",NA,2023-03-15
31,"Bellevue - South",NA,NA,"530330247041",2023-03-15
31,"Bellevue - South",NA,NA,"530330247042",2023-03-15
31,"Bellevue - South",NA,NA,"530330250013",2023-03-15
31,"Bellevue - South",NA,NA,"530330250014",2023-03-15
31,"Bellevue - South",NA,NA,"530330250072",2023-03-15
32,"Seattle - West Seattle",NA,"53033009600",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033009701",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033009702",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033009801",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033009802",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033009900",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033010501",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033010502",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033010601",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033010602",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033011601",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033011602",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033012000",NA,2023-03-15
32,"Seattle - West Seattle",NA,"53033012100",NA,2023-03-15
33,"Mercer Island and Point Cities","5304895",NA,NA,2023-03-15
33,"Mercer Island and Point Cities","5313365",NA,NA,2023-03-15
33,"Mercer Island and Point Cities","5332755",NA,NA,2023-03-15
33,"Mercer Island and Point Cities","5344725",NA,NA,2023-03-15
33,"Mercer Island and Point Cities","5345005",NA,NA,2023-03-15
33,"Mercer Island and Point Cities","5380150",NA,NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033007700",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033007901",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033007902",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033008700",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033008800",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033009000",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033009100",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033009200",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033009400",NA,2023-03-15
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",NA,"53033010001",NA,2023-03-15
