"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98006,31,0.80940343881839,33135.1590000024,33146.6960000024,33146.6960000024,"Bellevue - South",98006,31,"point population",2026-04-13
98027,31,0.000387988879468137,11.537,33146.6960000024,33146.6960000024,"Bellevue - South",98027,31,"point population",2026-04-13
98106,32,0.0911851238856282,2528.32372727389,65427.6859999923,65427.6859999923,"Seattle - West Seattle",98106,32,"point population",2026-04-13
98116,32,1,28692.692964347,65427.6859999923,65427.6859999923,"Seattle - West Seattle",98116,32,"point population",2026-04-13
98126,32,0.511182057934218,12716.5805129211,65427.6859999923,65427.6859999923,"Seattle - West Seattle",98126,32,"point population",2026-04-13
98134,32,0.00329287208892106,3.956,65427.6859999923,65427.6859999923,"Seattle - West Seattle",98134,32,"point population",2026-04-13
98136,32,0.995658643313912,16845.3007954497,65427.6859999923,65427.6859999923,"Seattle - West Seattle",98136,32,"point population",2026-04-13
98146,32,0.157725866522084,4640.832000001,65427.6859999923,65427.6859999923,"Seattle - West Seattle",98146,32,"point population",2026-04-13
98004,33,0.1213285933633,5008.36242857102,33755.0000000015,33755.0000000015,"Mercer Island and Point Cities",98004,33,"point population",2026-04-13
98039,33,1,2896.63757142867,33755.0000000015,33755.0000000015,"Mercer Island and Point Cities",98039,33,"point population",2026-04-13
98040,33,1,25850.0000000018,33755.0000000015,33755.0000000015,"Mercer Island and Point Cities",98040,33,"point population",2026-04-13
98104,34,0.431023019095963,9803.31576471295,59848.697000017,59848.697000017,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98104,34,"point population",2026-04-13
98108,34,0.142149966238556,3660.72830000116,59848.697000017,59848.697000017,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98108,34,"point population",2026-04-13
98112,34,0.119425322805371,2820.02576363644,59848.697000017,59848.697000017,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98112,34,"point population",2026-04-13
98122,34,0.417929035263608,20793.2926187248,59848.697000017,59848.697000017,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98122,34,"point population",2026-04-13
98144,34,0.553720329888982,22771.3345529415,59848.697000017,59848.697000017,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98144,34,"point population",2026-04-13
98004,35,0.841135267112158,34721.4960000095,41156.1690000092,41156.1690000092,"Bellevue - West",98004,35,"point population",2026-04-13
98005,35,0.196964454909646,5001.5140000011,41156.1690000092,41156.1690000092,"Bellevue - West",98005,35,"point population",2026-04-13
98006,35,0.035008246768095,1433.1589999983,41156.1690000092,41156.1690000092,"Bellevue - West",98006,35,"point population",2026-04-13
98004,36,0.000807498670510545,33.3329999994,41320.0229999997,41320.0229999997,"Bellevue - Central",98004,36,"point population",2026-04-13
98005,36,0.475654735575961,12078.2900663031,41320.0229999997,41320.0229999997,"Bellevue - Central",98005,36,"point population",2026-04-13
98006,36,0.155176221297764,6352.56600000023,41320.0229999997,41320.0229999997,"Bellevue - Central",98006,36,"point population",2026-04-13
98007,36,0.621186782521152,18352.0037766391,41320.0229999997,41320.0229999997,"Bellevue - Central",98007,36,"point population",2026-04-13
98008,36,0.173976156245406,4503.83015705818,41320.0229999997,41320.0229999997,"Bellevue - Central",98008,36,"point population",2026-04-13
98029,37,0.36067477163459,11670.1259999997,68460.0738499819,68460.0738499819,"Sammamish",98029,37,"point population",2026-04-13
98074,37,0.963050575308154,30268.0431489603,68460.0738499819,68460.0738499819,"Sammamish",98074,37,"point population",2026-04-13
98075,37,0.99924925487952,26521.9047010225,68460.0738499819,68460.0738499819,"Sammamish",98075,37,"point population",2026-04-13
98014,38,0.902634964929057,6919.575812005,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98014,38,"point population",2026-04-13
98019,38,0.996477140754982,13259.1216476247,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98019,38,"point population",2026-04-13
98024,38,0.911624316974785,4921.71204762077,38535.8148166654,38583.205816666,"Duvall, Carnation, Skykomish, and Northeast King County",98024,38,"point population",2026-04-13
