"btfid","gtfid","stfid","hra"
530330201002014,530330201002,53033020100,"Shoreline"
530330328003015,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330215001999,530330215001,53033021500,"Kenmore/LFP"
530330203001009,530330203001,53033020300,"Shoreline"
530330201002015,530330201002,53033020100,"Shoreline"
530330324011006,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330323113001,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330323111020,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330324011005,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330324011000,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330216003000,530330216003,53033021600,"Kenmore/LFP"
530330324011007,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330323111003,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330325001005,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330218043004,530330218043,53033021804,"Bothell/Woodinville"
530330204025003,530330204025,53033020402,"Shoreline"
530330203005010,530330203005,53033020300,"Shoreline"
530330324011998,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330325001010,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330325001009,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330323191001,530330323191,53033032319,"Bothell/Woodinville"
530330204012003,530330204012,53033020401,"Shoreline"
530330201002008,530330201002,53033020100,"Shoreline"
530330324011017,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330324011016,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330201002007,530330201002,53033020100,"Shoreline"
530330204011007,530330204011,53033020401,"Shoreline"
530330325001007,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330323111004,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330218041006,530330218041,53033021804,"Bothell/Woodinville"
530330201002019,530330201002,53033020100,"Shoreline"
530330204013010,530330204013,53033020401,"Shoreline"
530330323071005,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330323191003,530330323191,53033032319,"Bothell/Woodinville"
530330204021008,530330204021,53033020402,"Kenmore/LFP"
530330204021007,530330204021,53033020402,"Kenmore/LFP"
530330216003001,530330216003,53033021600,"Kenmore/LFP"
530330323111000,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330204024001,530330204024,53033020402,"Kenmore/LFP"
530330328003220,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330203004004,530330203004,53033020300,"Shoreline"
530330218034001,530330218034,53033021803,"Bothell/Woodinville"
530330328003223,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330216003003,530330216003,53033021600,"Kenmore/LFP"
530330325001008,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330218043005,530330218043,53033021804,"Bothell/Woodinville"
530330323073007,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330218041004,530330218041,53033021804,"Bothell/Woodinville"
