"geo_id_blk","region","regionid","hra","vid","svc","svcid","uploaded"
2.62017960451172e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939294e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939295e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939296e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939297e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939298e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939298e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939301e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939302e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960939303e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960939303e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960939305e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939306e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939307e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939309e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960939309e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960939788e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.6201796093979e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960939792e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960939793e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960939794e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960939795e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960939797e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960940283e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.6201796094127e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960941272e-309,"South",41154,"Renton-North",20100,"KC-Sea",1102,2022-02-02
2.62017960944244e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960944246e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960944247e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017960944729e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960944729e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.6201796094473e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960944731e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017960944735e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960944736e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960944737e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960944738e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960944739e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017960944739e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.6201796094474e-309,"South",41154,"Fairwood",11000,"KC-Sea",1102,2022-02-02
2.62017960945228e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960945228e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960945229e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017960945229e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.6201796094523e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017960945232e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017961448183e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017961448183e-309,"South",41154,"Renton-East",20000,"KC-Sea",1102,2022-02-02
2.62017961448184e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448184e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448186e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448186e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448187e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
2.62017961448188e-309,"South",41154,"Renton-South",20200,"KC-Sea",1102,2022-02-02
