"geo_id_blk","hra","vid"
530330033003009,"Ballard",2000
530330033003010,"Ballard",2000
530330033003011,"Ballard",2000
530330033003012,"Ballard",2000
530330033003013,"Ballard",2000
530330033003014,"Ballard",2000
530330033003015,"Ballard",2000
530330033003016,"Ballard",2000
530330033003017,"Ballard",2000
530330033003018,"Ballard",2000
530330033003019,"Ballard",2000
530330033003020,"Ballard",2000
530330033004000,"Ballard",2000
530330033004001,"Ballard",2000
530330033004002,"Ballard",2000
530330033004003,"Ballard",2000
530330033004004,"Ballard",2000
530330033004005,"Ballard",2000
530330033004006,"Ballard",2000
530330033004007,"Ballard",2000
530330033004008,"Ballard",2000
530330033004009,"Ballard",2000
530330033004010,"Ballard",2000
530330033004011,"Ballard",2000
530330033004012,"Ballard",2000
530330033005000,"Ballard",2000
530330033005001,"Ballard",2000
530330033005002,"Ballard",2000
530330033005003,"Ballard",2000
530330033005004,"Ballard",2000
530330033005005,"Ballard",2000
530330033005006,"Ballard",2000
530330033005007,"Ballard",2000
530330033005008,"Ballard",2000
530330033005009,"Ballard",2000
530330033005010,"Ballard",2000
530330033005011,"Ballard",2000
530330033005012,"Ballard",2000
530330033005013,"Ballard",2000
530330033005014,"Ballard",2000
530330033005015,"Ballard",2000
530330033005016,"Ballard",2000
530330033005017,"Ballard",2000
530330034001000,"Ballard",2000
530330034001001,"Ballard",2000
530330034001002,"Ballard",2000
530330034001003,"Ballard",2000
530330034001004,"Ballard",2000
530330034001005,"Ballard",2000
530330034001006,"Ballard",2000
530330034001007,"Ballard",2000
530330034001008,"Ballard",2000
530330034001009,"Ballard",2000
530330034001010,"Ballard",2000
530330034001011,"Ballard",2000
530330034001012,"Ballard",2000
530330034001013,"Ballard",2000
530330034001014,"Ballard",2000
530330034001015,"Ballard",2000
530330034002001,"Ballard",2000
530330034002002,"Ballard",2000
530330034002003,"Ballard",2000
530330034002004,"Ballard",2000
530330034002005,"Ballard",2000
530330034002006,"Ballard",2000
530330034002007,"Ballard",2000
530330034002008,"Ballard",2000
530330034002009,"Ballard",2000
530330034002010,"Ballard",2000
530330034002011,"Ballard",2000
530330034002012,"Ballard",2000
530330034002013,"Ballard",2000
530330034002014,"Ballard",2000
530330034002015,"Ballard",2000
530330034002016,"Ballard",2000
530330034003001,"Ballard",2000
530330034003002,"Ballard",2000
530330034003003,"Ballard",2000
530330034003004,"Ballard",2000
530330034003005,"Ballard",2000
530330034003006,"Ballard",2000
530330034003007,"Ballard",2000
530330034003008,"Ballard",2000
530330034003009,"Ballard",2000
530330034003011,"Ballard",2000
530330034003012,"Ballard",2000
530330034003013,"Ballard",2000
530330034003014,"Ballard",2000
530330034003015,"Ballard",2000
530330034003016,"Ballard",2000
530330034003017,"Ballard",2000
530330047001000,"Ballard",2000
530330047001001,"Ballard",2000
530330047001002,"Ballard",2000
530330047001003,"Ballard",2000
530330047001004,"Ballard",2000
530330047001005,"Ballard",2000
530330047001006,"Ballard",2000
530330047001007,"Ballard",2000
530330047001008,"Ballard",2000
530330047001009,"Ballard",2000
530330047001010,"Ballard",2000
530330047001011,"Ballard",2000
530330047001012,"Ballard",2000
530330047001013,"Ballard",2000
530330047001014,"Ballard",2000
530330047001015,"Ballard",2000
530330047001016,"Ballard",2000
530330047001017,"Ballard",2000
530330047002000,"Ballard",2000
530330047002001,"Ballard",2000
530330047002002,"Ballard",2000
530330047002003,"Ballard",2000
