"ZIP","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
98108,29,0.0153113188571729,3302197.54646991,308901905.993082,308901936.388342,"Seattle - Rainier Valley and Rainier Beach",98108,29,"geographic overlap",2026-04-13
98118,29,0.791530214987757,202879942.341992,308901905.993082,308901936.388342,"Seattle - Rainier Valley and Rainier Beach",98118,29,"geographic overlap",2026-04-13
98144,29,0.432524565018404,60089448.4215879,308901905.993082,308901936.388342,"Seattle - Rainier Valley and Rainier Beach",98144,29,"geographic overlap",2026-04-13
98178,29,0.246268428384271,37484486.8254203,308901905.993082,308901936.388342,"Seattle - Rainier Valley and Rainier Beach",98178,29,"geographic overlap",2026-04-13
98104,30,0.22135159002508,8551523.95897126,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98104,30,"geographic overlap",2026-04-13
98106,30,0.00266666873775592,406722.961454799,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98106,30,"geographic overlap",2026-04-13
98108,30,0.692624955389458,149378668.790469,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98108,30,"geographic overlap",2026-04-13
98116,30,0.000190477018435787,70551.214474678,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98116,30,"geographic overlap",2026-04-13
98118,30,0.18531455926265,47498637.9375545,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98118,30,"geographic overlap",2026-04-13
98134,30,0.737367640990614,92573488.1078503,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98134,30,"geographic overlap",2026-04-13
98144,30,0.0251190695443881,3489723.25703989,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98144,30,"geographic overlap",2026-04-13
98168,30,0.00342166950860389,889336.026212195,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98168,30,"geographic overlap",2026-04-13
98178,30,0.0121631536614543,1851352.10456992,304710004.358596,304710053.112817,"Seattle - South Beacon Hill, Georgetown, and South Park",98178,30,"geographic overlap",2026-04-13
98006,31,0.708393519869343,244172806.569866,244973262.022012,244973283.643631,"Bellevue - South",98006,31,"geographic overlap",2026-04-13
98008,31,0.000874289208369222,193282.782992672,244973262.022012,244973283.643631,"Bellevue - South",98008,31,"geographic overlap",2026-04-13
98027,31,0.000132320808400565,213047.246217467,244973262.022012,244973283.643631,"Bellevue - South",98027,31,"geographic overlap",2026-04-13
98056,31,0.00113859701602089,266604.466721601,244973262.022012,244973283.643631,"Bellevue - South",98056,31,"geographic overlap",2026-04-13
98059,31,0.000275833821720234,127520.956214492,244973262.022012,244973283.643631,"Bellevue - South",98059,31,"geographic overlap",2026-04-13
98070,32,0.011022591849753,25076452.9606916,828067477.019166,828067567.255486,"Seattle - West Seattle",98070,32,"geographic overlap",2026-04-13
98104,32,0.0054554913006812,210763.177985072,828067477.019166,828067567.255486,"Seattle - West Seattle",98104,32,"geographic overlap",2026-04-13
98106,32,0.219099087858915,33417210.2459993,828067477.019166,828067567.255486,"Seattle - West Seattle",98106,32,"geographic overlap",2026-04-13
98116,32,0.884110306973312,327467619.972092,828067477.019166,828067567.255486,"Seattle - West Seattle",98116,32,"geographic overlap",2026-04-13
98126,32,0.584493687855994,61877435.1024949,828067477.019166,828067567.255486,"Seattle - West Seattle",98126,32,"geographic overlap",2026-04-13
98134,32,0.259672411832304,32600808.0533609,828067477.019166,828067567.255486,"Seattle - West Seattle",98134,32,"geographic overlap",2026-04-13
98136,32,0.997691247797194,238825404.829002,828067477.019166,828067567.255486,"Seattle - West Seattle",98136,32,"geographic overlap",2026-04-13
98146,32,0.421212465355828,108539371.973843,828067477.019166,828067567.255486,"Seattle - West Seattle",98146,32,"geographic overlap",2026-04-13
98199,32,0.000125690882604652,52410.7036965489,828067477.019166,828067567.255486,"Seattle - West Seattle",98199,32,"geographic overlap",2026-04-13
98004,33,0.297866411009852,74688626.267364,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98004,33,"geographic overlap",2026-04-13
98006,33,0.00505085361049439,1740954.8041538,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98006,33,"geographic overlap",2026-04-13
98033,33,0.00112005500467265,372143.287913847,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98033,33,"geographic overlap",2026-04-13
98039,33,0.955287867558655,148241715.982656,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98039,33,"geographic overlap",2026-04-13
98040,33,0.950444589010125,338007446.191663,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98040,33,"geographic overlap",2026-04-13
98056,33,0.00301074311386709,704970.723630935,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98056,33,"geographic overlap",2026-04-13
98105,33,0.000667911298144787,99940.4066928625,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98105,33,"geographic overlap",2026-04-13
98112,33,0.0216452833807621,3049389.09689546,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98112,33,"geographic overlap",2026-04-13
98118,33,0.0187070876465852,4794880.58858815,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98118,33,"geographic overlap",2026-04-13
98122,33,5.45995122574597e-06,487.249551773071,571700554.59911,571700604.430618,"Mercer Island and Point Cities",98122,33,"geographic overlap",2026-04-13
98104,34,0.234370970415163,9054504.50374234,109351613.374766,109351631.630673,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98104,34,"geographic overlap",2026-04-13
98108,34,0.0864225424560599,18638780.2592458,109351613.374766,109351631.630673,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98108,34,"geographic overlap",2026-04-13
98112,34,0.040972228210214,5772170.49007468,109351613.374766,109351631.630673,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98112,34,"geographic overlap",2026-04-13
98122,34,0.35925934866799,32060534.8603362,109351613.374766,109351631.630673,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98122,34,"geographic overlap",2026-04-13
98134,34,0.00167133133224462,209828.805345954,109351613.374766,109351631.630673,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98134,34,"geographic overlap",2026-04-13
98144,34,0.313947007678723,43615794.4560207,109351613.374766,109351631.630673,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",98144,34,"geographic overlap",2026-04-13
98004,35,0.563711549706411,141348066.456631,221765333.179486,221765354.413292,"Bellevue - West",98004,35,"geographic overlap",2026-04-13
