"scd_id","geo_year","scd_name","scd_state_id","scd_cou_code","scd_lea_code","scd_esd_name"
"5306630","2010","Rainier School District","WA-03050","34","34307","Capital Region ESD 113"
"5306660","2010","Rainier Valley Leadership Academy","WA-21301","17","17910","Washington State Charter School Commission"
"5306690","2010","Raymond School District","WA-27401","25","25116","Capital Region ESD 113"
"5306750","2010","Reardan-Edwall School District","WA-23402","22","22009","Educational Service District 101"
"5306780","2010","Renton School District","WA-12110","17","17403","Puget Sound Educational Service District 121"
"5306820","2010","Renton Technical College","WA-05121","17","17941","Office of Superintendent of Public Instruction"
"5306840","2010","Republic School District","WA-16050","10","10309","Educational Service District 101"
"5306870","2010","Richland School District","WA-36402","03","03400","Educational Service District 123"
"5306900","2010","Ridgefield School District","WA-03116","06","06122","Educational Service District 112"
"5306930","2010","Ritzville School District","WA-38267","01","01160","Educational Service District 101"
"5306960","2010","Riverside School District","WA-27003","32","32416","Educational Service District 101"
"5306990","2010","Riverview School District","WA-16048","17","17407","Puget Sound Educational Service District 121"
"5307020","2010","Rochester School District","WA-05402","34","34401","Capital Region ESD 113"
"5307050","2010","Roosevelt School District","WA-14097","20","20403","Educational Service District 112"
"5307080","2010","Rosalia School District","WA-13144","38","38320","Educational Service District 101"
"5307110","2010","Royal School District","WA-34307","13","13160","Educational Service District 105"
"5307140","2010","San Juan Island School District","WA-25116","28","28149","Northwest Educational Service District 189"
"5307210","2010","Satsop School District","WA-22009","14","14104","Capital Region ESD 113"
