"mechanism","intent","orig.coding","icd10"
"All injury","Unintentional","V01-X59, Y85, Y86","V272"
"All injury","Unintentional","V01-X59, Y85, Y86","V273"
"All injury","Unintentional","V01-X59, Y85, Y86","V274"
"All injury","Unintentional","V01-X59, Y85, Y86","V275"
"All injury","Unintentional","V01-X59, Y85, Y86","V276"
"All injury","Unintentional","V01-X59, Y85, Y86","V277"
"All injury","Unintentional","V01-X59, Y85, Y86","V278"
"All injury","Unintentional","V01-X59, Y85, Y86","V279"
"All injury","Unintentional","V01-X59, Y85, Y86","V280"
"All injury","Unintentional","V01-X59, Y85, Y86","V281"
"All injury","Unintentional","V01-X59, Y85, Y86","V282"
"All injury","Unintentional","V01-X59, Y85, Y86","V283"
"All injury","Unintentional","V01-X59, Y85, Y86","V284"
"All injury","Unintentional","V01-X59, Y85, Y86","V285"
"All injury","Unintentional","V01-X59, Y85, Y86","V286"
"All injury","Unintentional","V01-X59, Y85, Y86","V287"
"All injury","Unintentional","V01-X59, Y85, Y86","V288"
"All injury","Unintentional","V01-X59, Y85, Y86","V289"
"All injury","Unintentional","V01-X59, Y85, Y86","V290"
"All injury","Unintentional","V01-X59, Y85, Y86","V291"
"All injury","Unintentional","V01-X59, Y85, Y86","V292"
"All injury","Unintentional","V01-X59, Y85, Y86","V293"
"All injury","Unintentional","V01-X59, Y85, Y86","V294"
"All injury","Unintentional","V01-X59, Y85, Y86","V295"
"All injury","Unintentional","V01-X59, Y85, Y86","V296"
"All injury","Unintentional","V01-X59, Y85, Y86","V297"
"All injury","Unintentional","V01-X59, Y85, Y86","V298"
"All injury","Unintentional","V01-X59, Y85, Y86","V299"
"All injury","Unintentional","V01-X59, Y85, Y86","V300"
"All injury","Unintentional","V01-X59, Y85, Y86","V301"
"All injury","Unintentional","V01-X59, Y85, Y86","V302"
"All injury","Unintentional","V01-X59, Y85, Y86","V303"
"All injury","Unintentional","V01-X59, Y85, Y86","V304"
"All injury","Unintentional","V01-X59, Y85, Y86","V305"
"All injury","Unintentional","V01-X59, Y85, Y86","V306"
"All injury","Unintentional","V01-X59, Y85, Y86","V307"
"All injury","Unintentional","V01-X59, Y85, Y86","V308"
"All injury","Unintentional","V01-X59, Y85, Y86","V309"
"All injury","Unintentional","V01-X59, Y85, Y86","V310"
"All injury","Unintentional","V01-X59, Y85, Y86","V311"
"All injury","Unintentional","V01-X59, Y85, Y86","V312"
"All injury","Unintentional","V01-X59, Y85, Y86","V313"
"All injury","Unintentional","V01-X59, Y85, Y86","V314"
"All injury","Unintentional","V01-X59, Y85, Y86","V315"
"All injury","Unintentional","V01-X59, Y85, Y86","V316"
"All injury","Unintentional","V01-X59, Y85, Y86","V317"
"All injury","Unintentional","V01-X59, Y85, Y86","V318"
"All injury","Unintentional","V01-X59, Y85, Y86","V319"
"All injury","Unintentional","V01-X59, Y85, Y86","V320"
"All injury","Unintentional","V01-X59, Y85, Y86","V321"
"All injury","Unintentional","V01-X59, Y85, Y86","V322"
"All injury","Unintentional","V01-X59, Y85, Y86","V323"
"All injury","Unintentional","V01-X59, Y85, Y86","V324"
"All injury","Unintentional","V01-X59, Y85, Y86","V325"
"All injury","Unintentional","V01-X59, Y85, Y86","V326"
"All injury","Unintentional","V01-X59, Y85, Y86","V327"
"All injury","Unintentional","V01-X59, Y85, Y86","V328"
"All injury","Unintentional","V01-X59, Y85, Y86","V329"
"All injury","Unintentional","V01-X59, Y85, Y86","V330"
"All injury","Unintentional","V01-X59, Y85, Y86","V331"
"All injury","Unintentional","V01-X59, Y85, Y86","V332"
"All injury","Unintentional","V01-X59, Y85, Y86","V333"
"All injury","Unintentional","V01-X59, Y85, Y86","V334"
"All injury","Unintentional","V01-X59, Y85, Y86","V335"
"All injury","Unintentional","V01-X59, Y85, Y86","V336"
"All injury","Unintentional","V01-X59, Y85, Y86","V337"
"All injury","Unintentional","V01-X59, Y85, Y86","V338"
"All injury","Unintentional","V01-X59, Y85, Y86","V339"
"All injury","Unintentional","V01-X59, Y85, Y86","V340"
"All injury","Unintentional","V01-X59, Y85, Y86","V341"
"All injury","Unintentional","V01-X59, Y85, Y86","V342"
"All injury","Unintentional","V01-X59, Y85, Y86","V343"
"All injury","Unintentional","V01-X59, Y85, Y86","V344"
"All injury","Unintentional","V01-X59, Y85, Y86","V345"
"All injury","Unintentional","V01-X59, Y85, Y86","V346"
"All injury","Unintentional","V01-X59, Y85, Y86","V347"
"All injury","Unintentional","V01-X59, Y85, Y86","V348"
"All injury","Unintentional","V01-X59, Y85, Y86","V349"
"All injury","Unintentional","V01-X59, Y85, Y86","V350"
"All injury","Unintentional","V01-X59, Y85, Y86","V351"
"All injury","Unintentional","V01-X59, Y85, Y86","V352"
"All injury","Unintentional","V01-X59, Y85, Y86","V353"
"All injury","Unintentional","V01-X59, Y85, Y86","V354"
"All injury","Unintentional","V01-X59, Y85, Y86","V355"
"All injury","Unintentional","V01-X59, Y85, Y86","V356"
"All injury","Unintentional","V01-X59, Y85, Y86","V357"
"All injury","Unintentional","V01-X59, Y85, Y86","V358"
"All injury","Unintentional","V01-X59, Y85, Y86","V359"
"All injury","Unintentional","V01-X59, Y85, Y86","V360"
"All injury","Unintentional","V01-X59, Y85, Y86","V361"
"All injury","Unintentional","V01-X59, Y85, Y86","V362"
"All injury","Unintentional","V01-X59, Y85, Y86","V363"
"All injury","Unintentional","V01-X59, Y85, Y86","V364"
"All injury","Unintentional","V01-X59, Y85, Y86","V365"
"All injury","Unintentional","V01-X59, Y85, Y86","V366"
"All injury","Unintentional","V01-X59, Y85, Y86","V367"
"All injury","Unintentional","V01-X59, Y85, Y86","V368"
"All injury","Unintentional","V01-X59, Y85, Y86","V369"
"All injury","Unintentional","V01-X59, Y85, Y86","V370"
"All injury","Unintentional","V01-X59, Y85, Y86","V371"
"All injury","Unintentional","V01-X59, Y85, Y86","V372"
"All injury","Unintentional","V01-X59, Y85, Y86","V373"
"All injury","Unintentional","V01-X59, Y85, Y86","V374"
"All injury","Unintentional","V01-X59, Y85, Y86","V375"
"All injury","Unintentional","V01-X59, Y85, Y86","V376"
"All injury","Unintentional","V01-X59, Y85, Y86","V377"
"All injury","Unintentional","V01-X59, Y85, Y86","V378"
"All injury","Unintentional","V01-X59, Y85, Y86","V379"
"All injury","Unintentional","V01-X59, Y85, Y86","V380"
"All injury","Unintentional","V01-X59, Y85, Y86","V381"
"All injury","Unintentional","V01-X59, Y85, Y86","V382"
"All injury","Unintentional","V01-X59, Y85, Y86","V383"
"All injury","Unintentional","V01-X59, Y85, Y86","V384"
"All injury","Unintentional","V01-X59, Y85, Y86","V385"
"All injury","Unintentional","V01-X59, Y85, Y86","V386"
"All injury","Unintentional","V01-X59, Y85, Y86","V387"
"All injury","Unintentional","V01-X59, Y85, Y86","V388"
"All injury","Unintentional","V01-X59, Y85, Y86","V389"
"All injury","Unintentional","V01-X59, Y85, Y86","V390"
"All injury","Unintentional","V01-X59, Y85, Y86","V391"
"All injury","Unintentional","V01-X59, Y85, Y86","V392"
"All injury","Unintentional","V01-X59, Y85, Y86","V393"
"All injury","Unintentional","V01-X59, Y85, Y86","V394"
"All injury","Unintentional","V01-X59, Y85, Y86","V395"
"All injury","Unintentional","V01-X59, Y85, Y86","V396"
"All injury","Unintentional","V01-X59, Y85, Y86","V397"
"All injury","Unintentional","V01-X59, Y85, Y86","V398"
"All injury","Unintentional","V01-X59, Y85, Y86","V399"
"All injury","Unintentional","V01-X59, Y85, Y86","V400"
"All injury","Unintentional","V01-X59, Y85, Y86","V401"
"All injury","Unintentional","V01-X59, Y85, Y86","V402"
"All injury","Unintentional","V01-X59, Y85, Y86","V403"
"All injury","Unintentional","V01-X59, Y85, Y86","V404"
"All injury","Unintentional","V01-X59, Y85, Y86","V405"
"All injury","Unintentional","V01-X59, Y85, Y86","V406"
"All injury","Unintentional","V01-X59, Y85, Y86","V407"
"All injury","Unintentional","V01-X59, Y85, Y86","V408"
"All injury","Unintentional","V01-X59, Y85, Y86","V409"
"All injury","Unintentional","V01-X59, Y85, Y86","V410"
"All injury","Unintentional","V01-X59, Y85, Y86","V411"
"All injury","Unintentional","V01-X59, Y85, Y86","V412"
"All injury","Unintentional","V01-X59, Y85, Y86","V413"
"All injury","Unintentional","V01-X59, Y85, Y86","V414"
"All injury","Unintentional","V01-X59, Y85, Y86","V415"
"All injury","Unintentional","V01-X59, Y85, Y86","V416"
"All injury","Unintentional","V01-X59, Y85, Y86","V417"
"All injury","Unintentional","V01-X59, Y85, Y86","V418"
"All injury","Unintentional","V01-X59, Y85, Y86","V419"
"All injury","Unintentional","V01-X59, Y85, Y86","V420"
"All injury","Unintentional","V01-X59, Y85, Y86","V421"
"All injury","Unintentional","V01-X59, Y85, Y86","V422"
"All injury","Unintentional","V01-X59, Y85, Y86","V423"
"All injury","Unintentional","V01-X59, Y85, Y86","V424"
"All injury","Unintentional","V01-X59, Y85, Y86","V425"
"All injury","Unintentional","V01-X59, Y85, Y86","V426"
"All injury","Unintentional","V01-X59, Y85, Y86","V427"
"All injury","Unintentional","V01-X59, Y85, Y86","V428"
